title,author,original_year,read_year
Meu Pé de Laranja Lima,José Mauro de Vasconcelos,1968,2003
O Alquimista,Paulo Coelho,2000,
O Demônio e a Srta. Prym,Paulo Coelho,2000,
The Hobbit,J.R.R. Tolkien,1937,2007
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,1954,2008
The Lord of the Rings: Two Towers,J.R.R. Tolkien,1954,2008
Alice in Wonderland,Lewis Carroll,1865,2008
The Sign of Four (Sherlock Holmes),Arthur Conan Doyle,1890,2009
The Naked Face,Sidney Sheldon,1984,2009
Master of the Game,Sidney Sheldon,1982,2009
A Study in Scarlet (Sherlock Holmes),Arthur Conan Doyle,1887,2009
The Hound of the Baskervilles (Sherlock Holmes),Arthur Conan Doyle,1902,2009
1984,George Orwell,1949,2018
Watchmen,Alan Moore,1986,2019
The Sandman, Vol. 1: Preludes & Nocturnes,Neil Gaiman,1993,2019
V for Vendetta,Alan Moore,1988,2019
Batman: The Killing Joke,Alan Moore,1988,2019
Batman: Year One,Frank Miller,1987,2019
Batman: The Long Halloween,Jeph Loeb,1996,2019
Batman: The Dark Knight Returns,Frank Miller,1986,2019
Sin City Volume 1: The Hard Goodbye,Frank Miller,1991,2019
Preacher, Volume 1: Gone to Texas,Garth Ennis,1995,2019
The Walking Dead Vol. 1: Days Gone Bye,Robert Kirkman,2003,2019
The Walking Dead Vol. 2: Miles Behind Us,Robert Kirkman,2004,2019
The Invention of Hugo Cabret,Brian Selznick,2007,2019
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,2019
The Complete Maus,Art Spiegelman,1991,2019
The Little Prince,Antoine de Saint-Exupéry,1943,2020
The Myths of Cthulhu,Esteban Maroto,2010,2020
Othello (Shakespeare in Comics),Jazz and Akira Sanoki,2007,2020
Leonardo da Vinci,Walter Isaacson,2017,2020
Steve Jobs,Walter Isaacson,2011,2021
The Dark Knight Returns,Frank Miller,1986,2022
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin (Uncle Bob),2008,2023
Dive Into DESIGN PATTERNS,Refactoring Guru,2024,2024
The Pragmatic Programmer,Andrew Hunt and David Thomas,1999,2025
Uzumaki,Junji Ito,1998,2025
Dragon Ball Vol. 1,Akira Toriyama,1985,2025
Memórias Póstumas de Brás Cubas,Machado de Assis,1881,2025
Persepolis (The Complete Persepolis),Marjane Satrapi,2000,2025
Blue Pills: A Positive Love Story,Frederik Peeters,2008,2025
A História de Édipo : Mitologia Grega em Quadrinhos,Bruno Viriato,2023,2025
Carmilla - Sheridan Le Fanu,Randreo A. Maximiano,2024,2025
Mitologia Japonesa em Quadrinhos: O Essencial,Bruno Viriato,2024,2025
Asterios Polyp,David Mazzucchelli,2009,2025
The Arrival, Shaun Tan,2006,2025
Saga of the Swamp Thing: Book One,Alan Moore,1984,2025
Blankets,Craig Thompson,2003,2025
Gyo,Junji Ito,2001,2025
