title,opencritic_score,gotytracker_top10,where_to_play, ready_to_play
Regras, > 80 && > 30 reviews,https://www.gameawards.net/,,
Half-Life: Alyx, 93, True, VR, ✔️
Mario Kart 8 Deluxe, 92, False, SWITCH, 
Super Smash Bros. Ultimate, 92, False, SWITCH, 
NieR: Automata, 89, False, PS5,
Astro Bot Rescue Mission, 89, True, VR, 
It Takes Two, 89, True, PS5, ✔️
Silent Hill 2, 89, False, PC, 
Uncharted: Legacy of Thieves Collection, 88, False, PS5,
Diablo III: Eternal Collection, 87, False, SWITCH,
Luigi's Mansion 3, 85, False, Switch, 
HITMAN 3, 85, False, PS5, 
Control: Ultimate Edition, 85, False, PS5, 
Pokémon Legends: Arceus, 84, False, SWITCH,
Before Your Eyes, 84, False, PC,
SOMA, 83, False, PS5, 
Alba: A Wildlife Adventure, 82, False, PS5,
Ghost Giant, 82, False, VR,
Marvel's Guardians of the Galaxy, 82, True, PS5, ✔️
LEGO Star Wars: The Skywalker Saga, 82, False, PS5, ✔️ 
That Dragon Cancer, 81, False, PC,
Life is Strange: True Colors, 81, False, Switch, 
Call Of Duty: Modern Warfare, 81, False, PS5,
Shadow of the Tomb Raider, 80, False, PS5, 
Call of Duty: Vanguard, 72, False, PS5,
