title,where_to_play
Persona 5 Royal, PS5
Super Mario 3D World + Bowser’s Fury, SWITCH
Divinity: Original Sin 2, PC
Half-Life: Alyx, PC VR
Forza Horizon 4, GAME_PASS
NieR: Automata Become as Gods Edition, GAME_PASS
Crusader Kings III, GAME_PASS
Dreams, PS5
Animal Crossing: New Horizons, SWITCH
DOOM Eternal, GAME_PASS
Factorio, PC
Psychonauts 2, GAME_PASS
It Takes Two, PS5
Ratchet & Clank: Rift Apart, PS5
Final Fantasy VII Remake Intergrade, PS5
Death's Door, PC
Mass Effect Legendary Edition, PS5
Chicory: A Colorful Tale, PC
Ghost of Tsushima Director's Cut, PS5
Dishonored 2, GAME_PASS
Katana ZERO, PC
A Hat in Time, PC
ONESHOT, PC
GRIS, PC
Grimm's Hollow, PC
Finding Paradise, PC
POSTAL 2, PC
Human: Fall Flat, GAME_PASS
Before Your Eyes, PC
Gorogoa, PS5
Desperados III, PC
Spiritfarer®, GAME_PASS
missed messages., PC
Cyberpunk 2077, PS5
Little Nightmares, PS5
Mario Kart 8 Deluxe, SWITCH
Super Mario Galaxy 2, SWITCH
Super Mario Galaxy, SWITCH
Ratchet and Clank, PS5
Star Wars Jedi: Fallen Order, PS5
Assassin’s Creed Valhalla, PS5
Marvel's Spider-Man: Miles Morales, PS5
Days Gone, PS5
Detroit: Become Human, PS5
Batman: Arkham Knight, PS5
Ratchet & Clank, PS5
Call of Duty: Black Ops III, PS5
Until Dawn, PS5
Uncharted: Lost Legacy, PS5
Destiny 2, GAME_PASS
Gran Turismo 7, PS5
That Dragon, Cancer, PC
