title,beat_date,year_I_played,score
Factorio, TO PLAY, 2021, AWAITING
Slay the Spire, TO PLAY, 2021, AWAITING
Katana ZERO, TO PLAY, 2021, AWAITING
A Hat in Time, TO PLAY, 2021, AWAITING
ONESHOT, TO PLAY, 2021, AWAITING
GRIS, TO PLAY, 2021, AWAITING
Grimm's Hollow, TO PLAY, 2021, AWAITING
Finding Paradise, TO PLAY, 2021, AWAITING
POSTAL 2, TO PLAY, 2021, AWAITING
Human: Fall Flat, TO PLAY, 2021, AWAITING
Before Your Eyes, TO PLAY, 2021, AWAITING
SOMA, TO PLAY, 2021, AWAITING
Gorogoa, TO PLAY, 2021, AWAITING
It Takes Two, TO PLAY, 2021, AWAITING
Mini Metro, TO PLAY, 2021, AWAITING (Android)
Desperados III, TO PLAY, 2021, AWAITING
Spiritfarer®, TO PLAY, 2021, AWAITING
missed messages., TO PLAY, 2021, AWAITING
Mass Effect™ Legendary Edition, TO PLAY, 2021, AWAITING
EarthBound, TO PLAY, 2021, AWAITING (Super NES)
Silent Hill 2, TO PLAY, 2021, AWAITING
Half-Life: Alyx, TO PLAY, 2021, AWAITING (VR exclusive)
Heavy Rain, TO PLAY, 2021, AWAITING
Cyberpunk 2077, TO PLAY, 2021, AWAITING (Bugs)
Hellblade: Senua's Sacrifice, TO PLAY, 2021, AWAITING
Chicory: A Colorful Tale, TO PLAY, 2021, AWAITING 
Little Nightmares, TO PLAY, 2021, AWAITING
Mario Kart 8 Deluxe, TO PLAY, 2021, AWAITING (Nintendo Switch)
Super Smash Bros. Ultimate, TO PLAY, 2021, AWAITING (Nintendo Switch)
Super Mario 3D World + Bowser’s Fury, TO PLAY, 2021, AWAITING (Nintendo Switch)
Animal Crossing™: New Horizons, TO PLAY, 2021, AWAITING (Nintendo Switch)
The Legend of Zelda: The Wind Waker, TO PLAY, 2021, AWAITING (Wii U)
Super Mario Galaxy 2, TO PLAY, 2021, AWAITING (Wii U)
Super Mario Galaxy, TO PLAY, 2021, AWAITING (Wii U)
Final Fantasy 7 Remake, TO PLAY, 2021, AWAITING (Playstation exclusive)
Persona 5 Royal, TO PLAY, 2021, AWAITING (Playstation exclusive)
Shadow of the Colossus, TO PLAY, 2021, AWAITING (Playstation exclusive)
Ratchet and Clank, TO PLAY, 2021, AWAITING (Playstation exclusive)
Bloodborne, TO PLAY, 2021, AWAITING (Playstation exclusive)
