title, year, watched
The Shawshank Redemption, 1994, 2013
The Godfather, 1972, 2013
The Godfather: Part II, 1974, 2013
The Dark Knight, 2008, 2013
12 Angry Men, 1957, 2013
Schindler's List, 1993, 2013
The Lord of the Rings: The Return of the King, 2003, 2013
Pulp Fiction, 1994, 2013
The Good the Bad and the Ugly, 1966, 2013
Fight Club, 1999, 2013
The Lord of the Rings: The Fellowship of the Ring, 2001, 2013
Forrest Gump, 1994, 2013
Inception, 2010, 2013
Star Wars: Episode V - The Empire Strikes Back, 1980, 2013
The Lord of the Rings: The Two Towers, 2002, 2013
The Matrix, 1999, 2013
Goodfellas, 1990, 2013
One Flew Over the Cuckoo's Nest, 1975, 2013
Seven Samurai, 1954, 2013
Se7en, 1995, 2013
City of God, 2002, 2013
Life Is Beautiful, 1997, 2013
The Silence of the Lambs, 1991, 2013
It's a Wonderful Life, 1946, 2013
Star Wars: Episode IV - A New Hope, 1977, 2013
Saving Private Ryan, 1998, 2013
Spirited Away, 2001, 2013
The Green Mile, 1999, 2013
Léon: The Professional, 1994, 2013
The Usual Suspects, 1995, 2013
Harakiri, 1962, 2013
The Lion King, 1994, 2013
American History X, 1998, 2013
Back to the Future, 1985, 2013
The Pianist, 2002, 2013
Terminator 2: Judgment Day, 1991, 2013
Modern Times, 1936, 2013
Psycho, 1960, 2013
The Intouchables, 2011, 2013
Gladiator, 2000, 2013
City Lights, 1931, 2013
The Departed, 2006, 2013
Once Upon a Time in the West, 1968, 2013
The Prestige, 2006, 2013
Casablanca, 1942, 2013
Grave of the Fireflies, 1988, 2013
Bicho de Sete Cabeças, 2000, 2013
Rear Window, 1954, 2014
Cinema Paradiso, 1988, 2014
Alien, 1979, 2014
Raiders of the Lost Ark, 1981, 2014
Memento, 2000, 2014
Apocalypse Now, 1979, 2014
The Great Dictator, 1940, 2014
The Lives of Others, 2006, 2014
Django Unchained, 2012, 2014
The Shining, 1980, 2014
Paths of Glory, 1957, 2014
WALL·E, 2008, 2014
Sunset Blvd., 1950, 2014
Princess Mononoke, 1997, 2014
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 1964, 2014
Oldboy, 2003, 2014
Witness for the Prosecution, 1957, 2014
The Dark Knight Rises, 2012, 2014
Once Upon a Time in America, 1984, 2014
Aliens, 1986, 2014
American Beauty, 1999, 2014
Braveheart, 1995, 2014
Das Boot, 1981, 2014
3 Idiots, 2009, 2014
Star Wars: Episode VI - Return of the Jedi, 1983, 2014
Como Estrelas na Terra, 2007, 2014
Toy Story, 1995, 2014
Amadeus, 1984, 2014
Reservoir Dogs, 1992, 2014
Inglourious Basterds, 2009, 2014
Good Will Hunting, 1997, 2014
M, 1931, 2014
Requiem for a Dream, 2000, 2014
2001: A Space Odyssey, 1968, 2014
Dangal, 2016, 2014
Vertigo, 1958, 2014
Eternal Sunshine of the Spotless Mind, 2004, 2014
Citizen Kane, 1941, 2014
The Hunt, 2012, 2014
Full Metal Jacket, 1987, 2014
North by Northwest, 1959, 2014
A Clockwork Orange, 1971, 2014
Snatch, 2000, 2014
The Kid, 1921, 2014
Bicycle Thieves, 1948, 2014
Amélie, 2001, 2015
Scarface, 1983, 2015
Singin' in the Rain, 1952, 2015
Taxi Driver, 1976, 2015
Lawrence of Arabia, 1962, 2015
Toy Story 3, 2010, 2015
The Sting, 1973, 2015
Marriage Story, 2019, 2015
Metropolis, 1927, 2015
For a Few Dollars More, 1965, 2015
A Separation, 2011, 2015
Ikiru, 1952, 2015
Double Indemnity, 1944, 2015
To Kill a Mockingbird, 1962, 2015
The Apartment, 1960, 2015
Indiana Jones and the Last Crusade, 1989, 2015
Up, 2009, 2015
L.A. Confidential, 1997, 2015
Monty Python and the Holy Grail, 1975, 2015
Heat, 1995, Rashomon, 1950, 2015
Die Hard, 1988, 2015
Batman Begins, 2005, 2015
Yojimbo, 1961, 2015
Unforgiven, 1992, 2015
Downfall, 2004, 2015
Children of Heaven, 1997, 2015
Some Like It Hot, 1959, 2015
Howl's Moving Castle, 2004, 2015
The Great Escape, 1963, 2015
My Neighbor Totoro, 1988, 2015
A Beautiful Mind, 2001, 2015
All About Eve, 1950, 2015
Pan's Labyrinth, 2006, 2015
Casino, 1995, 2015
Raging Bull, 1980, 2015
The Secret in Their Eyes, 2009, 2015
Lock, Stock and Two Smoking Barrels, 1998, 2015
The Wolf of Wall Street, 2013, 2015
The Treasure of the Sierra Madre, 1948, 2015
Chinatown, 1974, 2015
The Gold Rush, 1925, 2016
There Will Be Blood, 2007, 2016
V for Vendetta, 2005, 2016
Inside Out, 2015, 2016
The Seventh Seal, 1957, 2016
Warrior, 2011, 2016
No Country for Old Men, 2007, 2016
Trainspotting, 1996, 2016
Room, 2015, 2016
The Sixth Sense, 1999, 2016
Shutter Island, 2010, 2016
The Thing, 1982, 2016
The Bridge on the River Kwai, 1957, 2016
Blade Runner, 1982, 2016
On the Waterfront, 1954, 2016
Jurassic Park, 1993, 2016
Finding Nemo, 2003, 2016
Fargo, 1996, 2016
Gran Torino, 2008, 2016
Kill Bill: Vol. 1, 2003, 2016
The Deer Hunter, 1978, 2016
The Truman Show, 1998, 2016
The Big Lebowski, 1998, 2016
In the Name of the Father, 1993, 2016
Gone Girl, 2014, 2016
Hacksaw Ridge, 2016, 2016
Mr. Smith Goes to Washington, 1939, 2016
How to Train Your Dragon, 2010, 2016
The Grand Budapest Hotel, 2014, 2016
Persona, 1966, 2016
Into the Wild, 2007, 2016
12 Years a Slave, 2013, 2017
Network, 1976, 2017
Monty Python's Life of Brian, 1979, 2017
Mad Max: Fury Road, 2015, 2017
Million Dollar Baby, 2004, 2017
Rush, 2013, 2017
Hotel Rwanda, 2004, 2017
Titanic, 1997, 2017
Star Wars: The Force Awakens, 2017
2015, Casa Blanca, 1942, 2017
Iron Man, 2008, 2017
Iron Man 2, 2010, 2017
Iron Man 3, 2013, 2017
The Great Escape, 1963, 2017
Whiplash, 2014, 2017
Logan, 2017, 2018
Spotlight, 2015, 2018
Butch Cassidy and the Sundance Kid, 1969, 2018
The Terminator, 1984, 2018
Akira, 1988, 2018
Guardians of the Galaxy, 2014, 2018
Rocky, 1976, 2018
Slumdog Millionaire, 2008, 2018
Seven, 1995, 2018
On the Waterfront, 1954, 2018
Avatar, 2009, 2018
All About Eve, 1950, 2018
Jurassic Park, 1993, 2018
Ferris Bueller's Day Off, 1986, 2018
The Breakfast Club, 1985, 2018
Jaws, 1975, 2018
The Wizard of Oz, 1939, 2018
Mad Max 2, 1981, 2018
Dead Poets Society, 1989, 2019
Catch Me If You Can, 2002, 2019
Tempo de Despertar, 1990, 2019
A Estranha Vida de Timothy Green, 2012, 2019
Os Intocáveis, 1987, 2019
O Homem que viu o Infinito, 2015, 2019
A Garota Dinamarquesa, 2015, 2019
Lolita, 1997, 2019
Nada a Esconder, 2018, 2019
O Babadook, 2014, 2019
Monsters, Inc., 2001, 2019
Pequeno Demônio, 2017, 2019
O Lagosta, 2015, 2019
Madagascar 3: Os Procurados, 2012, 2019
Os Pinguins de Madagascar, 2014, 2019
Wild Wild Country, 2018, 2019
Capitão Fantástico, 2016, 2019
Doutor Estranho, 2016, 2019
Homem-Aranha: De Volta ao Lar, 2017, 2019
Vingadores: Guerra Infinita, 2018, 2019
Toy Story 4, 2019 , 2019
The Mist, 2007, 2019
Pet Sematary, 2019, 2019
Persona, 1966, 2019
Inside Bill's Brain: Decoding Bill Gates, 2019 , 2019
Creepshow, 1982, 2019
Creepshow 2, 1987, 2019
Blade Runner 2049, 2017 , 2019
Bohemian Rhapsody, 2018, 2019
Cujo, 1983, 2019
Dogtooth, 2009, 2019
Eraserhead, 1977,  2019
The Elephant Man, 1980 , 2019
Mother!, 2017, 2019
Green Book, 2018 , 2019
Three Billboards Outside Ebbing, 2019
Missouri, 2017 , 2019
Avengers: Endgame, 2019, 2019
Joker, 2019 , 2019
Carrie, 1976, 2019
El Camino: A Breaking Bad Movie, 2019, 2019
Dreamcatcher, 2003, 2019
